eval_id,provenance,llm_available,fallback_triggered
1,rule,1,1
2,rule,1,0
3,rule,1,0
4,llm,1,0
5,rule,1,0
6,rule,1,0
7,rule,1,1
8,rule,1,0
9,rule,1,0
10,rule,1,0
11,rule,1,0
12,rule,1,0
13,rule,1,0
14,rule,1,1
15,rule,1,0
16,rule,1,0
17,rule,1,0
18,hybrid,1,0
19,rule,1,0
20,llm,1,0
21,rule,1,0
22,rule,1,0
23,rule,1,0
24,rule,1,1
25,rule,1,0
26,rule,1,0
27,rule,1,0
28,rule,1,0
29,llm,1,0
30,rule,1,0
31,rule,1,0
32,rule,1,0
33,hybrid,1,0
34,rule,1,0
35,rule,1,0
36,rule,1,0
37,rule,1,0
38,rule,1,0
39,llm,1,0
40,llm,1,0
41,rule,1,0
42,rule,1,0
43,rule,1,0
44,rule,1,0
45,rule,1,0
46,llm,1,0
47,rule,1,0
48,hybrid,1,0
49,rule,1,1
50,rule,1,0
51,rule,1,0
52,rule,1,1
53,rule,1,0
54,rule,1,0
55,llm,1,0
56,rule,1,0
57,rule,1,0
58,rule,1,0
59,rule,1,0
60,rule,1,0
61,llm,1,0
62,rule,1,0
63,rule,1,0
64,llm,1,0
65,rule,1,0
66,rule,1,0
67,rule,1,0
68,rule,1,0
69,rule,1,0
70,rule,1,0
71,llm,1,0
72,llm,1,0
73,rule,1,1
74,llm,1,0
75,llm,1,0
76,rule,1,0
77,rule,1,0
78,rule,1,0
79,rule,1,0
80,rule,1,0
81,rule,1,0
82,rule,1,0
83,rule,1,0
84,hybrid,1,0
85,rule,1,0
86,rule,1,0
87,rule,1,0
88,rule,1,0
89,rule,1,1
90,rule,1,0
91,llm,1,0
92,llm,1,0
93,rule,1,0
94,rule,1,0
95,rule,1,0
96,rule,1,0
97,rule,1,0
98,rule,1,1
99,rule,1,0
100,rule,1,0
101,rule,1,0
102,rule,1,0
103,rule,1,0
104,rule,1,0
105,rule,1,0
106,rule,1,0
107,llm,1,0
108,rule,1,0
109,rule,1,1
110,hybrid,1,0
111,llm,1,0
112,hybrid,1,0
113,llm,1,0
114,llm,1,0
115,rule,1,0
116,rule,1,0
117,rule,1,0
118,hybrid,1,0
119,rule,1,0
120,rule,1,0
121,hybrid,1,0
122,hybrid,1,0
123,rule,1,0
124,rule,1,0
125,hybrid,1,0
126,rule,1,0
127,rule,1,1
128,rule,1,0
129,llm,1,0
130,rule,1,0
131,rule,1,0
132,rule,1,0
133,rule,1,0
134,llm,1,0
135,rule,1,0
136,rule,1,0
137,rule,1,0
138,llm,1,0
139,rule,1,0
140,rule,1,0
141,rule,1,0
142,rule,1,0
143,rule,1,0
144,hybrid,1,0
145,hybrid,1,0
146,rule,1,0
147,rule,1,0
148,llm,1,0
149,llm,1,0
150,rule,1,0
151,llm,1,0
152,rule,1,0
153,hybrid,1,0
154,rule,1,1
155,llm,1,0
156,rule,1,0
157,llm,1,0
158,rule,1,0
159,rule,1,0
160,rule,1,0
161,rule,1,0
162,rule,1,0
163,rule,1,0
164,llm,1,0
165,rule,1,0
166,rule,1,1
167,rule,1,0
168,rule,1,0
169,rule,1,0
170,rule,1,1
