response_id,evaluator_id,correctness,depth,clarity,practicality,tradeoffs,overall_score
328,1,0.33,0.12,0.65,0.46,0.12,0.3147
328,2,0.34,0.14,0.41,0.63,0.01,0.3778
58,1,0.63,0.19,0.76,0.2,0.15,0.4503
58,2,0.6,0.17,0.7,0.36,0.37,0.418
13,1,0.22,0.17,0.85,0.81,0.34,0.3265
13,2,0.16,0,0.85,0.76,0.16,0.3415
380,1,0.62,0.3,0.72,0.7,0.46,0.4025
380,2,0.66,0.24,0.88,0.75,0.34,0.4622
141,1,0.55,0.28,0.8,0.19,0.45,0.5254
141,2,0.52,0.26,0.85,0.27,0.41,0.5565
126,1,0.21,0.03,0.6,0.91,0.26,0.2619
126,2,0.17,0.08,0.71,0.74,0.26,0.3009
115,1,0.59,0.32,0.4,0.61,0.37,0.3374
115,2,0.64,0.32,0.41,0.6,0.37,0.5646
72,1,0.39,0.14,0.78,0.39,0.35,0.463
72,2,0.39,0.22,0.62,0.56,0.23,0.2252
378,1,0.44,0.2,0.38,0.71,0.39,0.4686
378,2,0.3,0.18,0.45,0.64,0.47,0.3765
53,1,0.28,0.02,0.84,0.4,0.42,0.0737
53,2,0.35,0.03,0.6,0.38,0.33,0.3334
347,1,0.21,0.1,0.68,0.63,0.38,0.1901
347,2,0,0.16,0.72,0.64,0.35,0.2307
431,1,0.42,0.37,0.66,0.28,0.22,0.3421
431,2,0.4,0.12,0.78,0.29,0.25,0.3615
280,1,0.55,0.31,0.62,0.6,0.35,0.5471
280,2,0.51,0.32,0.59,0.59,0.15,0.3833
45,1,0.33,0.12,0.68,0.5,0.2,0.4131
45,2,0.26,0.21,0.69,0.53,0.01,0.415
303,1,0.08,0.03,0.42,0.68,0.56,0.3196
303,2,0.1,0,0.49,0.75,0.38,0.2814
217,1,0.68,0.28,0.7,0.67,0.29,0.6451
217,2,0.6,0.28,0.58,0.69,0.27,0.5118
17,1,0.09,0,0.7,0.56,0.46,0.3868
17,2,0.32,0,0.74,0.5,0.47,0.3011
16,1,0.15,0,0.46,0.64,0.3,0.2821
16,2,0.17,0.07,0.6,0.39,0.23,0.2662
48,1,0.18,0.06,0.67,0.72,0.35,0.3714
48,2,0.33,0,0.64,0.73,0.35,0.5398
112,1,0.66,0.15,0.53,0.35,0.38,0.2705
112,2,0.74,0.18,0.57,0.37,0.23,0.2671
120,1,0.57,0.15,0.76,0.5,0.41,0.5941
120,2,0.56,0.32,0.7,0.57,0.46,0.3729
259,1,0.37,0.34,0.63,0.58,0.41,0.5808
259,2,0.56,0.04,0.61,0.67,0.21,0.6468
309,1,0.23,0.21,0.84,0.48,0.57,0.6761
309,2,0.41,0.29,0.56,0.39,0.44,0.592
14,1,0,0.02,0.35,0.4,0.21,0.1574
14,2,0.15,0,0.37,0.3,0.17,0.095
288,1,0.59,0.19,0.52,0.48,0.38,0.2982
288,2,0.46,0.2,0.48,0.46,0.3,0.4424
102,1,0.47,0.38,0.41,0.46,0.22,0.3202
102,2,0.63,0.29,0.47,0.7,0.17,0.3089
367,1,0.44,0.21,0.77,0.56,0.59,0.3542
367,2,0.54,0.22,0.64,0.46,0.39,0.5643
333,1,0.25,0,0.69,0.61,0.53,0.4129
333,2,0.1,0.1,0.75,0.6,0.43,0.3654
360,1,0.21,0.02,0.67,0.75,0.45,0.43
360,2,0.25,0.07,0.63,0.65,0.41,0.4002
422,1,0.18,0.09,0.6,0.56,0.25,0.1418
422,2,0.23,0.06,0.71,0.58,0.11,0.1715
215,1,0.03,0.05,0.34,0.25,0.27,0.1433
215,2,0.18,0.11,0.41,0.2,0.16,0.219
113,1,0.38,0.13,0.52,0.76,0.4,0.5901
113,2,0.42,0.15,0.49,0.58,0.52,0.5319
230,1,0,0,0.56,0.48,0.44,0.1831
230,2,0,0,0.55,0.32,0.42,0.2456
302,1,0.29,0,0.68,0.3,0.46,0.2908
302,2,0.24,0.06,0.62,0.4,0.53,0.4044
143,1,0.51,0.14,0.67,0.53,0.36,0.525
143,2,0.63,0.22,0.6,0.44,0.25,0.411
4,1,0.35,0.14,0.38,0.52,0.18,0.4824
4,2,0.28,0.23,0.45,0.43,0.25,0.3703
389,1,0.08,0.11,0.37,0.65,0.29,0.2216
389,2,0.42,0,0.45,0.58,0.29,0.3696
82,1,0.01,0,0.67,0.62,0.24,0.1545
82,2,0,0,0.76,0.6,0.27,0.1943
358,1,0.11,0.03,0.32,0.43,0.33,0.3187
358,2,0.15,0.07,0.38,0.58,0.45,0.0877
419,1,0.14,0.05,0.67,0.33,0.17,0.3053
419,2,0.1,0.14,0.45,0.47,0.24,0.2021
175,1,0.36,0.04,0.62,0.48,0.22,0.4093
175,2,0.31,0.05,0.6,0.5,0.25,0.3669
400,1,0.23,0.06,0.73,0.31,0.6,0.5435
400,2,0.24,0.21,0.58,0.38,0.61,0.4859
80,1,0.34,0.15,0.59,0.36,0.37,0.2535
80,2,0.31,0.11,0.6,0.42,0.26,0.2474
111,1,0.41,0.08,0.43,0.41,0.28,0.2563
111,2,0.43,0.32,0.45,0.58,0.17,0.3069
173,1,0.15,0.16,0.4,0.69,0.4,0.3644
173,2,0.31,0.14,0.53,0.65,0.41,0.253
425,1,0.45,0.27,0.63,0.29,0.19,0.2874
425,2,0.47,0.21,0.67,0.56,0.35,0.3063
416,1,0.1,0.26,0.64,0.59,0.42,0.4734
416,2,0,0.06,0.68,0.59,0.26,0.3772
195,1,0.26,0.1,0.27,0.38,0.23,0.1392
195,2,0.06,0.02,0.48,0.44,0.18,0.362
50,1,0.15,0.11,0.39,0.31,0.4,0.3355
50,2,0,0.04,0.66,0.21,0.35,0.3442
184,1,0.12,0.02,0.62,0.67,0.5,0.5368
184,2,0.25,0.14,0.58,0.69,0.37,0.4556
177,1,0.26,0.19,0.58,0.3,0.13,0.4141
177,2,0.4,0.06,0.53,0.34,0.33,0.3453
310,1,0.14,0.05,0.58,0.55,0.26,0.446
310,2,0.21,0.21,0.39,0.6,0.31,0.5112
136,1,0.19,0,0.4,0.36,0.28,0.3708
136,2,0.18,0.15,0.49,0.4,0.41,0.3237
23,1,0.26,0.11,0.61,0.46,0.22,0.3398
23,2,0.44,0.1,0.39,0.31,0.26,0.4135
374,1,0.02,0,0.58,0.46,0.36,0.4457
374,2,0.13,0,0.5,0.36,0.56,0.293
236,1,0.29,0.14,0.62,0.55,0.43,0.3893
236,2,0.14,0.15,0.6,0.41,0.31,0.4312
275,1,0.36,0.22,0.41,0.54,0.26,0.4545
275,2,0.52,0.08,0.5,0.6,0.34,0.3394
64,1,0.27,0.15,0.49,0.44,0.63,0.5002
64,2,0.34,0.06,0.7,0.57,0.29,0.3636
194,1,0,0.01,0.52,0.24,0.25,0.3203
194,2,0,0.13,0.25,0.42,0.29,0.1706
41,1,0.11,0,0.77,0.26,0.51,0.2546
41,2,0.06,0.13,0.77,0.3,0.54,0.3935
283,1,0,0.1,0.46,0.55,0.19,0.3795
