session_id,round,concept_id,chapter,queried_within_k
1,1,基础概念与常识_1,基础概念与常识,0
1,6,系统设计_6,系统设计,0
1,2,I/O_2,I/O,0
1,2,泛型_2,泛型,0
1,6,SPI_6,SPI,0
1,1,基本语法_1,基本语法,0
1,4,String_4,String,1
1,1,Object_1,Object,0
2,2,Spring_2,Spring,0
2,5,基础概念与常识_5,基础概念与常识,0
2,5,反射_5,反射,0
2,6,变量_6,变量,0
3,4,I/O_4,I/O,0
3,4,基本语法_4,基本语法,0
3,3,基础概念与常识_3,基础概念与常识,0
3,2,异常_2,异常,0
3,3,系统设计_3,系统设计,0
3,2,反射_2,反射,0
3,3,泛型_3,泛型,0
3,1,序列化和反序列化_1,序列化和反序列化,0
4,3,基本数据类型_3,基本数据类型,0
4,5,系统设计_5,系统设计,0
4,1,数据库_1,数据库,0
5,1,序列化和反序列化_1,序列化和反序列化,0
5,1,SPI_1,SPI,0
5,3,变量_3,变量,0
5,5,基本数据类型_5,基本数据类型,0
5,5,反射_5,反射,0
5,6,Object_6,Object,0
5,1,I/O_1,I/O,0
6,2,I/O_2,I/O,0
6,2,序列化和反序列化_2,序列化和反序列化,1
6,5,数据库_5,数据库,0
6,6,JVM_6,JVM,0
6,6,基本数据类型_6,基本数据类型,0
7,6,系统设计_6,系统设计,0
7,6,变量_6,变量,0
7,1,集合_1,集合,0
7,6,JVM_6,JVM,0
8,4,JVM_4,JVM,0
8,8,序列化和反序列化_8,序列化和反序列化,0
8,5,变量_5,变量,0
8,4,方法_4,方法,0
8,1,I/O_1,I/O,0
8,1,方法_1,方法,0
8,7,系统设计_7,系统设计,0
9,2,基本语法_2,基本语法,0
9,3,反射_3,反射,0
9,4,序列化和反序列化_4,序列化和反序列化,1
10,4,面向对象基础_4,面向对象基础,0
10,3,面向对象基础_3,面向对象基础,0
10,2,SPI_2,SPI,0
10,5,系统设计_5,系统设计,0
10,6,基本语法_6,基本语法,0
10,4,基本语法_4,基本语法,0
10,4,基本数据类型_4,基本数据类型,0
10,2,面向对象基础_2,面向对象基础,0
11,4,Object_4,Object,0
11,1,泛型_1,泛型,0
11,2,变量_2,变量,0
11,2,异常_2,异常,1
11,1,序列化和反序列化_1,序列化和反序列化,0
11,4,集合_4,集合,0
11,4,Spring_4,Spring,0
12,5,基础概念与常识_5,基础概念与常识,0
12,6,泛型_6,泛型,0
12,6,SPI_6,SPI,0
12,3,变量_3,变量,0
12,3,泛型_3,泛型,0
13,4,JVM_4,JVM,0
