user_id,session_id,arm,persona,track,status,planned_rounds,actual_rounds,avg_score,improvement
1,1,control,junior_practical,Java Backend,completed,10,10,0.636,-0.012
1,2,control,junior_practical,Java Backend,completed,8,8,0.615,0.046
1,3,control,junior_practical,Java Backend,completed,8,8,0.66,-0.024
2,4,control,mid_balanced,Spring & Microservices,completed,9,9,0.59,0.023
2,5,control,mid_balanced,Java Concurrency,completed,7,7,0.582,0.035
2,6,control,mid_balanced,Java Backend,completed,7,7,0.598,-0.009
3,7,control,junior_practical,Spring & Microservices,completed,10,10,0.59,-0.053
3,8,control,junior_practical,Java Backend,completed,7,7,0.576,-0.067
3,9,control,junior_practical,Spring & Microservices,completed,11,11,0.588,-0.01
4,10,control,senior_architect,JVM & Performance,completed,9,9,0.686,-0.006
4,11,control,senior_architect,JVM & Performance,completed,9,9,0.716,-0.014
4,12,control,senior_architect,Spring & Microservices,cancelled,9,3,0.737,-0.02
5,13,control,senior_architect,Java Backend,completed,10,10,0.623,-0.036
5,14,control,senior_architect,Java Backend,completed,11,11,0.644,-0.062
5,15,control,senior_architect,Java Backend,completed,8,8,0.659,0.069
6,16,control,mid_balanced,Spring & Microservices,cancelled,9,3,0.675,0.207
6,17,control,mid_balanced,Java Concurrency,completed,8,8,0.639,-0.032
6,18,control,mid_balanced,Java Concurrency,completed,11,11,0.633,-0.031
7,19,control,junior_practical,Java Backend,completed,8,8,0.6,0.038
7,20,control,junior_practical,Spring & Microservices,completed,9,9,0.619,0.043
7,21,control,junior_practical,Java Backend,completed,8,8,0.603,0.038
8,22,control,mid_balanced,Java Concurrency,completed,10,10,0.686,0.035
8,23,control,mid_balanced,Java Concurrency,completed,9,9,0.667,0.027
8,24,control,mid_balanced,Java Backend,completed,7,7,0.685,0.043
9,25,control,junior_practical,Spring & Microservices,completed,10,10,0.569,-0.073
9,26,control,junior_practical,Spring & Microservices,completed,8,8,0.595,0.088
9,27,control,junior_practical,Spring & Microservices,completed,7,7,0.556,0.078
10,28,control,mid_balanced,Spring & Microservices,completed,8,8,0.589,-0.034
10,29,control,mid_balanced,Spring & Microservices,completed,7,7,0.699,0.025
10,30,control,mid_balanced,Java Backend,completed,10,10,0.665,-0.089
11,31,control,senior_architect,JVM & Performance,completed,11,11,0.766,-0.135
11,32,control,senior_architect,Java Backend,completed,7,7,0.794,0.001
11,33,control,senior_architect,Spring & Microservices,completed,10,10,0.765,-0.053
12,34,control,mid_balanced,Java Concurrency,cancelled,8,4,0.689,0.032
12,35,control,mid_balanced,Java Concurrency,completed,10,10,0.68,0.04
12,36,control,mid_balanced,Java Concurrency,cancelled,11,4,0.705,0.009
13,37,control,junior_practical,Java Concurrency,completed,7,7,0.665,0.002
13,38,control,junior_practical,Spring & Microservices,completed,9,9,0.593,0.0
13,39,control,junior_practical,Java Backend,completed,7,7,0.591,0.051
14,40,control,mid_balanced,Java Concurrency,completed,9,9,0.627,-0.001
14,41,control,mid_balanced,Spring & Microservices,completed,11,11,0.663,0.03
14,42,control,mid_balanced,Java Concurrency,completed,10,7,0.636,0.05
15,43,control,mid_balanced,Java Backend,completed,10,10,0.627,0.045
15,44,control,mid_balanced,Java Concurrency,completed,7,7,0.603,0.006
15,45,control,mid_balanced,Spring & Microservices,completed,10,10,0.6,-0.027
