question_id,difficulty,chapter,track
1,3,String,
2,1,String,
3,2,String,
4,2,基本语法,
5,4,基本语法,
6,3,基本语法,
7,4,基本数据类型,
8,1,基本数据类型,
9,3,基本数据类型,
10,1,变量,
11,2,变量,
12,3,变量,
13,1,方法,
14,2,方法,
15,3,方法,
16,3,面向对象基础,
17,2,面向对象基础,
18,3,面向对象基础,
19,4,Object,
20,1,Object,
21,4,Object,
22,3,异常,
23,3,异常,
24,2,异常,
25,5,泛型,
26,3,泛型,
27,1,泛型,
28,1,反射,
29,4,反射,
30,3,反射,
31,4,注解,
32,4,注解,
33,3,注解,
34,5,SPI,
35,3,SPI,
36,3,SPI,
37,4,I/O,
38,3,I/O,
39,4,I/O,
40,3,序列化和反序列化,
41,4,序列化和反序列化,
42,1,序列化和反序列化,
43,2,集合,
44,2,集合,
45,1,集合,
46,2,并发,
47,2,并发,
48,2,并发,
49,3,JVM,
50,3,JVM,
51,3,JVM,
52,2,Spring,
53,2,Spring,
54,5,Spring,
55,3,数据库,
56,3,数据库,
57,2,数据库,
58,4,系统设计,
59,2,系统设计,
60,3,系统设计,
61,5,基础概念与常识,
62,3,基础概念与常识,
63,3,基础概念与常识,
