session_id,participant_id,track,duration_min,n_questions,initial_difficulty,termination_reason,termination_rounds
1,1,Java Backend,56.0,10,3,completed,10
2,1,Java Backend,64.0,8,3,completed,8
3,1,Java Backend,59.0,8,3,completed,8
4,2,Spring & Microservices,61.0,9,3,completed,9
5,2,Java Concurrency,51.0,7,3,completed,7
6,2,Java Backend,49.0,7,3,completed,7
7,3,Spring & Microservices,76.0,10,2,completed,10
8,3,Java Backend,50.0,7,2,completed,7
9,3,Spring & Microservices,80.0,11,2,completed,11
10,4,JVM & Performance,58.0,9,3,completed,9
11,4,JVM & Performance,72.0,9,3,completed,9
12,4,Spring & Microservices,40.0,3,3,cancelled,3
13,5,Java Backend,68.0,10,3,completed,10
14,5,Java Backend,82.0,11,3,completed,11
15,5,Java Backend,42.0,8,3,completed,8
16,6,Spring & Microservices,50.0,3,3,cancelled,3
17,6,Java Concurrency,54.0,8,3,completed,8
18,6,Java Concurrency,70.0,11,3,completed,11
19,7,Java Backend,54.0,8,3,completed,8
20,7,Spring & Microservices,58.0,9,3,completed,9
21,7,Java Backend,69.0,8,3,completed,8
22,8,Java Concurrency,58.0,10,3,completed,10
23,8,Java Concurrency,45.0,9,3,completed,9
24,8,Java Backend,60.0,7,3,completed,7
25,9,Spring & Microservices,72.0,10,3,completed,10
26,9,Spring & Microservices,70.0,8,3,completed,8
27,9,Spring & Microservices,60.0,7,3,completed,7
28,10,Spring & Microservices,60.0,8,3,completed,8
29,10,Spring & Microservices,40.0,7,3,completed,7
30,10,Java Backend,47.0,10,3,completed,10
31,11,JVM & Performance,62.0,11,3,completed,11
32,11,Java Backend,48.0,7,3,completed,7
33,11,Spring & Microservices,85.0,10,3,completed,10
34,12,Java Concurrency,48.0,4,3,cancelled,4
35,12,Java Concurrency,66.0,10,3,completed,10
36,12,Java Concurrency,56.0,4,3,cancelled,4
37,13,Java Concurrency,56.0,7,2,completed,7
38,13,Spring & Microservices,70.0,9,2,completed,9
39,13,Java Backend,43.0,7,2,completed,7
40,14,Java Concurrency,65.0,9,3,completed,9
41,14,Spring & Microservices,64.0,11,3,completed,11
42,14,Java Concurrency,46.0,7,3,completed,7
43,15,Java Backend,72.0,10,3,completed,10
44,15,Java Concurrency,70.0,7,3,completed,7
45,15,Spring & Microservices,67.0,10,3,completed,10
46,16,Spring & Microservices,62.0,9,3,completed,9
47,16,Java Concurrency,53.0,8,3,completed,8
48,16,Spring & Microservices,65.0,8,3,completed,8
49,17,Java Backend,44.0,7,3,completed,7
50,17,Java Backend,61.0,11,3,completed,11
51,17,Spring & Microservices,54.0,10,3,completed,10
52,18,Java Backend,64.0,8,3,completed,8
53,18,Spring & Microservices,69.0,7,3,completed,7
54,18,Java Concurrency,59.0,7,3,completed,7
55,19,Spring & Microservices,48.0,11,2,completed,11
56,19,Spring & Microservices,66.0,11,2,completed,11
57,19,Spring & Microservices,69.0,11,2,completed,11
58,20,Java Backend,72.0,10,2,completed,10
59,20,Spring & Microservices,40.0,7,2,completed,7
60,20,Java Backend,80.0,11,2,completed,11
61,21,JVM & Performance,60.0,9,3,completed,9
62,21,Java Backend,74.0,10,3,completed,10
63,21,Spring & Microservices,75.0,10,3,completed,10
64,22,Java Concurrency,64.0,4,3,cancelled,4
65,22,JVM & Performance,49.0,8,3,completed,8
66,22,Java Concurrency,65.0,11,3,completed,11
67,23,Java Backend,79.0,11,3,completed,11
68,23,Java Backend,65.0,11,3,completed,11
69,23,JVM & Performance,61.0,10,3,completed,10
70,24,JVM & Performance,51.0,7,2,completed,7
71,24,Java Concurrency,79.0,8,2,completed,8
72,24,Java Concurrency,83.0,9,2,completed,9
73,25,Spring & Microservices,60.0,7,3,completed,7
74,25,Spring & Microservices,51.0,7,3,completed,7
75,25,Java Backend,74.0,11,3,completed,11
76,26,Java Concurrency,68.0,11,3,completed,11
77,26,Java Concurrency,61.0,7,3,completed,7
78,26,JVM & Performance,62.0,9,3,completed,9
79,27,Java Concurrency,70.0,11,3,completed,11
80,27,Java Concurrency,67.0,10,3,completed,10
81,27,Java Backend,45.0,11,3,completed,11
82,28,JVM & Performance,66.0,7,2,completed,7
83,28,Java Concurrency,64.0,10,2,completed,10
84,28,Java Concurrency,68.0,7,2,completed,7
85,29,Spring & Microservices,66.0,9,2,completed,9
86,29,JVM & Performance,55.0,6,2,cancelled,6
87,29,JVM & Performance,64.0,9,2,completed,9
88,30,Spring & Microservices,47.0,9,3,completed,9
89,30,Spring & Microservices,60.0,9,3,completed,9
90,30,Java Concurrency,71.0,8,3,completed,8
91,31,Spring & Microservices,80.0,8,3,completed,8
92,31,Java Concurrency,85.0,11,3,completed,11
93,31,Java Concurrency,65.0,11,3,completed,11
