id,session_id,role,content
1,1,interviewer,第1题（基础概念与常识）：请简述相关知识点。
2,1,candidate,（已提交语音回答）
3,1,interviewer,第2题（异常）：请简述相关知识点。
4,1,candidate,（已提交语音回答）
5,1,interviewer,第3题（Spring）：请简述相关知识点。
6,1,candidate,（已提交语音回答）
7,1,interviewer,第4题（String）：请简述相关知识点。
8,1,candidate,（已提交语音回答）
9,1,interviewer,第5题（String）：请简述相关知识点。
10,1,candidate,（已提交语音回答）
11,1,interviewer,第6题（Spring）：请简述相关知识点。
12,1,candidate,（已提交语音回答）
13,2,interviewer,第1题（集合）：请简述相关知识点。
14,2,candidate,（已提交语音回答）
15,2,interviewer,第2题（String）：请简述相关知识点。
16,2,candidate,（已提交语音回答）
17,2,interviewer,第3题（泛型）：请简述相关知识点。
18,2,candidate,（已提交语音回答）
19,2,interviewer,第4题（注解）：请简述相关知识点。
20,2,candidate,（已提交语音回答）
21,2,interviewer,第5题（SPI）：请简述相关知识点。
22,2,candidate,（已提交语音回答）
23,2,interviewer,第6题（集合）：请简述相关知识点。
24,2,candidate,（已提交语音回答）
25,3,interviewer,第1题（I/O）：请简述相关知识点。
26,3,candidate,（已提交语音回答）
27,3,interviewer,第2题（系统设计）：请简述相关知识点。
28,3,candidate,（已提交语音回答）
29,3,interviewer,第3题（基本语法）：请简述相关知识点。
30,3,candidate,（已提交语音回答）
31,3,interviewer,第4题（基本数据类型）：请简述相关知识点。
32,3,candidate,（已提交语音回答）
33,4,interviewer,第1题（I/O）：请简述相关知识点。
34,4,candidate,（已提交语音回答）
35,4,interviewer,第2题（SPI）：请简述相关知识点。
36,4,candidate,（已提交语音回答）
37,4,interviewer,第3题（泛型）：请简述相关知识点。
38,4,candidate,（已提交语音回答）
39,4,interviewer,第4题（系统设计）：请简述相关知识点。
40,4,candidate,（已提交语音回答）
41,4,interviewer,第5题（异常）：请简述相关知识点。
42,4,candidate,（已提交语音回答）
43,4,interviewer,第6题（Spring）：请简述相关知识点。
44,4,candidate,（已提交语音回答）
45,5,interviewer,第1题（注解）：请简述相关知识点。
46,5,candidate,（已提交语音回答）
47,5,interviewer,第2题（注解）：请简述相关知识点。
48,5,candidate,（已提交语音回答）
49,5,interviewer,第3题（注解）：请简述相关知识点。
50,5,candidate,（已提交语音回答）
51,5,interviewer,第4题（基础概念与常识）：请简述相关知识点。
52,5,candidate,（已提交语音回答）
53,5,interviewer,第5题（Spring）：请简述相关知识点。
54,5,candidate,（已提交语音回答）
55,5,interviewer,第6题（序列化和反序列化）：请简述相关知识点。
56,5,candidate,（已提交语音回答）
57,6,interviewer,第1题（SPI）：请简述相关知识点。
58,6,candidate,（已提交语音回答）
59,6,interviewer,第2题（基本数据类型）：请简述相关知识点。
60,6,candidate,（已提交语音回答）
61,6,interviewer,第3题（序列化和反序列化）：请简述相关知识点。
62,6,candidate,（已提交语音回答）
63,6,interviewer,第4题（集合）：请简述相关知识点。
64,6,candidate,（已提交语音回答）
65,6,interviewer,第5题（String）：请简述相关知识点。
66,6,candidate,（已提交语音回答）
67,6,interviewer,第6题（泛型）：请简述相关知识点。
68,6,candidate,（已提交语音回答）
69,6,interviewer,第7题（面向对象基础）：请简述相关知识点。
70,6,candidate,（已提交语音回答）
71,6,interviewer,第8题（泛型）：请简述相关知识点。
72,6,candidate,（已提交语音回答）
73,7,interviewer,第1题（JVM）：请简述相关知识点。
74,7,candidate,（已提交语音回答）
75,7,interviewer,第2题（JVM）：请简述相关知识点。
76,7,candidate,（已提交语音回答）
77,7,interviewer,第3题（Spring）：请简述相关知识点。
78,7,candidate,（已提交语音回答）
79,7,interviewer,第4题（并发）：请简述相关知识点。
80,7,candidate,（已提交语音回答）
81,7,interviewer,第5题（反射）：请简述相关知识点。
82,7,candidate,（已提交语音回答）
83,7,interviewer,第6题（基本数据类型）：请简述相关知识点。
84,7,candidate,（已提交语音回答）
85,7,interviewer,第7题（基本数据类型）：请简述相关知识点。
86,7,candidate,（已提交语音回答）
87,8,interviewer,第1题（方法）：请简述相关知识点。
88,8,candidate,（已提交语音回答）
89,8,interviewer,第2题（面向对象基础）：请简述相关知识点。
90,8,candidate,（已提交语音回答）
91,8,interviewer,第3题（序列化和反序列化）：请简述相关知识点。
92,8,candidate,（已提交语音回答）
