session_id,participant_id,ability_label,source
1,1,4,synthetic_expert
2,1,4,synthetic_expert
3,1,4,synthetic_expert
4,2,4,synthetic_expert
5,2,4,synthetic_expert
6,2,4,synthetic_expert
7,3,3,synthetic_expert
8,3,3,synthetic_expert
9,3,3,synthetic_expert
10,4,4,synthetic_expert
11,4,3,synthetic_expert
12,4,3,synthetic_expert
13,5,4,synthetic_expert
14,5,3,synthetic_expert
15,5,3,synthetic_expert
16,6,4,synthetic_expert
17,6,3,synthetic_expert
18,6,2,synthetic_expert
19,7,3,synthetic_expert
20,7,3,synthetic_expert
21,7,3,synthetic_expert
22,8,4,synthetic_expert
23,8,4,synthetic_expert
24,8,5,synthetic_expert
25,9,4,synthetic_expert
26,9,4,synthetic_expert
27,9,3,synthetic_expert
28,10,3,synthetic_expert
29,10,4,synthetic_expert
30,10,4,synthetic_expert
31,11,3,synthetic_expert
32,11,3,synthetic_expert
33,11,3,synthetic_expert
34,12,4,synthetic_expert
35,12,4,synthetic_expert
36,12,3,synthetic_expert
37,13,3,synthetic_expert
38,13,3,synthetic_expert
39,13,4,synthetic_expert
40,14,4,synthetic_expert
41,14,4,synthetic_expert
42,14,4,synthetic_expert
43,15,4,synthetic_expert
44,15,5,synthetic_expert
45,15,4,synthetic_expert
46,16,3,synthetic_expert
47,16,5,synthetic_expert
48,16,4,synthetic_expert
49,17,3,synthetic_expert
50,17,4,synthetic_expert
51,17,3,synthetic_expert
52,18,3,synthetic_expert
53,18,3,synthetic_expert
54,18,3,synthetic_expert
55,19,4,synthetic_expert
56,19,3,synthetic_expert
57,19,4,synthetic_expert
58,20,3,synthetic_expert
59,20,3,synthetic_expert
60,20,3,synthetic_expert
61,21,3,synthetic_expert
62,21,3,synthetic_expert
63,21,3,synthetic_expert
64,22,3,synthetic_expert
65,22,3,synthetic_expert
66,22,4,synthetic_expert
67,23,4,synthetic_expert
68,23,4,synthetic_expert
69,23,4,synthetic_expert
70,24,4,synthetic_expert
71,24,5,synthetic_expert
72,24,4,synthetic_expert
73,25,3,synthetic_expert
74,25,2,synthetic_expert
75,25,3,synthetic_expert
76,26,3,synthetic_expert
77,26,4,synthetic_expert
78,26,3,synthetic_expert
79,27,4,synthetic_expert
80,27,4,synthetic_expert
81,27,3,synthetic_expert
82,28,5,synthetic_expert
83,28,4,synthetic_expert
84,28,5,synthetic_expert
85,29,4,synthetic_expert
86,29,4,synthetic_expert
87,29,4,synthetic_expert
88,30,4,synthetic_expert
89,30,4,synthetic_expert
90,30,4,synthetic_expert
91,31,4,synthetic_expert
92,31,4,synthetic_expert
93,31,4,synthetic_expert
94,32,3,synthetic_expert
95,32,3,synthetic_expert
96,32,3,synthetic_expert
97,33,4,synthetic_expert
98,33,4,synthetic_expert
99,33,3,synthetic_expert
100,34,3,synthetic_expert
101,34,3,synthetic_expert
102,34,4,synthetic_expert
103,35,3,synthetic_expert
104,35,5,synthetic_expert
105,35,4,synthetic_expert
106,36,3,synthetic_expert
107,36,4,synthetic_expert
108,36,4,synthetic_expert
109,37,3,synthetic_expert
110,37,3,synthetic_expert
111,37,3,synthetic_expert
112,38,2,synthetic_expert
113,38,4,synthetic_expert
114,38,3,synthetic_expert
115,39,3,synthetic_expert
116,39,2,synthetic_expert
117,39,2,synthetic_expert
118,40,3,synthetic_expert
119,40,3,synthetic_expert
120,40,3,synthetic_expert
121,41,4,synthetic_expert
122,41,3,synthetic_expert
123,41,3,synthetic_expert
124,42,4,synthetic_expert
125,42,4,synthetic_expert
126,42,4,synthetic_expert
127,43,4,synthetic_expert
128,43,4,synthetic_expert
129,43,4,synthetic_expert
130,44,4,synthetic_expert
131,44,4,synthetic_expert
132,44,4,synthetic_expert
133,45,4,synthetic_expert
134,45,3,synthetic_expert
135,45,4,synthetic_expert
136,46,3,synthetic_expert
137,46,2,synthetic_expert
138,46,3,synthetic_expert
139,47,4,synthetic_expert
140,47,3,synthetic_expert
141,47,3,synthetic_expert
142,48,4,synthetic_expert
143,48,3,synthetic_expert
144,48,4,synthetic_expert
145,49,3,synthetic_expert
146,49,3,synthetic_expert
147,49,3,synthetic_expert
148,50,3,synthetic_expert
149,50,4,synthetic_expert
150,50,4,synthetic_expert
151,51,3,synthetic_expert
152,51,4,synthetic_expert
153,51,4,synthetic_expert
154,52,4,synthetic_expert
155,52,5,synthetic_expert
156,52,4,synthetic_expert
157,53,3,synthetic_expert
158,53,4,synthetic_expert
159,53,4,synthetic_expert
160,54,3,synthetic_expert
161,54,3,synthetic_expert
162,54,4,synthetic_expert
163,55,4,synthetic_expert
164,55,3,synthetic_expert
165,55,4,synthetic_expert
166,56,4,synthetic_expert
167,56,4,synthetic_expert
168,56,4,synthetic_expert
169,57,3,synthetic_expert
170,57,3,synthetic_expert
171,57,2,synthetic_expert
172,58,3,synthetic_expert
173,58,3,synthetic_expert
174,58,4,synthetic_expert
175,59,4,synthetic_expert
