session_id,round,question_id,difficulty,chapter,priority_used
1,1,61,2,基础概念与常识,P1
1,2,22,2,异常,P1
1,3,52,2,Spring,P3
1,4,1,2,String,P1
1,5,3,3,String,P1
1,6,53,3,Spring,P1
2,1,45,4,集合,P2
2,2,1,4,String,P3
2,3,25,4,泛型,P1
2,4,31,4,注解,P1
2,5,36,4,SPI,P2
2,6,45,4,集合,P1
3,1,37,4,I/O,P3
3,2,59,5,系统设计,P3
3,3,6,4,基本语法,P1
3,4,7,4,基本数据类型,P1
4,1,38,4,I/O,P2
4,2,34,4,SPI,P2
4,3,27,5,泛型,P3
4,4,60,5,系统设计,P1
5,1,54,2,Spring,P1
5,2,27,2,泛型,P3
5,3,31,2,注解,P1
5,4,32,2,注解,P2
5,5,31,3,注解,P3
6,1,47,2,并发,P3
6,2,25,2,泛型,P1
6,3,53,2,Spring,P3
7,1,56,4,数据库,P3
7,2,15,3,方法,P2
7,3,10,2,变量,P3
7,4,42,3,序列化和反序列化,P1
7,5,45,4,集合,P2
7,6,3,4,String,P3
7,7,27,5,泛型,P2
8,1,11,4,变量,P2
8,2,27,3,泛型,P1
8,3,12,3,变量,P2
8,4,51,3,JVM,P1
8,5,54,2,Spring,P1
9,1,59,2,系统设计,P2
9,2,28,2,反射,P1
9,3,7,3,基本数据类型,P3
10,1,46,4,并发,P3
10,2,15,4,方法,P2
10,3,17,4,面向对象基础,P3
10,4,40,4,序列化和反序列化,P3
11,1,21,4,Object,P2
11,2,62,5,基础概念与常识,P2
11,3,43,5,集合,P1
11,4,3,5,String,P3
11,5,1,4,String,P3
12,1,61,2,基础概念与常识,P1
12,2,31,1,注解,P3
12,3,46,2,并发,P3
12,4,56,3,数据库,P1
12,5,40,3,序列化和反序列化,P1
13,1,12,4,变量,P2
13,2,45,4,集合,P1
13,3,61,4,基础概念与常识,P1
13,4,31,4,注解,P1
14,1,19,2,Object,P3
14,2,40,2,序列化和反序列化,P2
14,3,8,2,基本数据类型,P3
14,4,52,3,Spring,P1
15,1,22,4,异常,P2
15,2,20,4,Object,P1
15,3,38,3,I/O,P2
16,1,29,2,反射,P3
16,2,54,2,Spring,P3
16,3,20,2,Object,P1
16,4,57,2,数据库,P3
17,1,6,2,基本语法,P2
17,2,48,3,并发,P3
17,3,7,4,基本数据类型,P1
17,4,23,4,异常,P1
17,5,55,4,数据库,P3
18,1,58,4,系统设计,P3
18,2,57,5,数据库,P3
18,3,21,5,Object,P3
18,4,37,5,I/O,P3
18,5,44,5,集合,P1
18,6,55,5,数据库,P1
19,1,52,3,Spring,P3
19,2,7,3,基本数据类型,P2
19,3,54,3,Spring,P2
19,4,63,3,基础概念与常识,P1
19,5,53,3,Spring,P3
20,1,10,4,变量,P2
20,2,52,3,Spring,P2
20,3,31,2,注解,P3
20,4,27,2,泛型,P2
20,5,9,1,基本数据类型,P2
20,6,4,1,基本语法,P2
