response_id,evaluator_id,correctness,depth,clarity,practicality,tradeoffs,overall_score
316,1,0.75,0.74,0.78,0.75,0.81,0.706
316,2,0.76,0.77,0.74,0.69,0.79,0.681
1293,1,0.75,0.69,0.75,0.89,0.87,0.7682
1293,2,0.79,0.76,0.55,0.8,0.76,0.825
1669,1,0.7,0.47,0.5,0.36,0.48,0.5717
1669,2,0.51,0.52,0.38,0.55,0.52,0.6088
519,1,0.74,0.75,0.71,0.76,0.69,0.6724
519,2,0.91,0.63,0.76,0.83,0.85,0.7151
1754,1,0.78,0.66,0.72,0.82,0.59,0.6263
1754,2,0.73,0.58,0.73,0.8,0.6,0.6543
1550,1,0.43,0.46,0.62,0.54,0.54,0.5802
1550,2,0.4,0.49,0.74,0.68,0.54,0.475
1310,1,0.56,0.71,0.73,0.67,0.69,0.5626
1310,2,0.47,0.66,0.67,0.59,0.61,0.4975
958,1,0.52,0.54,0.53,0.74,0.55,0.5937
958,2,0.53,0.56,0.48,0.58,0.49,0.555
1787,1,0.66,0.71,0.75,0.55,0.5,0.6362
1787,2,0.62,0.73,0.71,0.6,0.69,0.7079
1117,1,0.71,0.63,0.74,0.81,0.71,0.8082
1117,2,0.78,0.76,0.64,0.62,0.67,0.58
126,1,0.34,0.39,0.39,0.33,0.3,0.4067
126,2,0.25,0.27,0.41,0.36,0.26,0.3512
749,1,0.49,0.16,0.34,0.31,0.21,0.2933
749,2,0.49,0.2,0.31,0.37,0.19,0.4039
1273,1,0.81,1,0.8,0.71,0.88,0.8284
1273,2,0.86,0.92,0.97,0.73,0.88,0.8321
303,1,0.6,0.62,0.44,0.67,0.7,0.6013
303,2,0.58,0.51,0.49,0.77,0.69,0.6316
1863,1,0.82,0.87,0.62,0.84,0.76,0.7159
1863,2,0.73,0.79,0.61,0.75,0.81,0.7034
857,1,0.66,0.73,0.74,0.65,0.65,0.6928
857,2,0.69,0.7,0.73,0.62,0.54,0.8111
169,1,0.7,0.52,0.61,0.56,0.53,0.6189
169,2,0.74,0.65,0.66,0.61,0.57,0.6025
313,1,0.6,0.74,0.61,0.8,0.65,0.6802
313,2,0.64,0.7,0.69,0.74,0.87,0.7077
602,1,0.68,0.74,0.67,0.75,0.72,0.5424
602,2,0.48,0.69,0.62,0.69,0.71,0.558
887,1,0.46,0.25,0.31,0.27,0.47,0.3139
887,2,0.5,0.34,0.46,0.6,0.54,0.4031
291,1,0.39,0.47,0.51,0.5,0.47,0.5315
291,2,0.24,0.49,0.47,0.65,0.61,0.4567
575,1,0.85,0.99,0.95,0.79,0.78,0.7634
575,2,0.8,0.85,0.83,0.75,0.76,0.7927
