session_id,round,concept_id,chapter,queried_within_k
1,1,集合_1_1,集合,0
1,2,Object_1_2,Object,0
1,3,系统设计_1_3,系统设计,1
1,4,系统设计_1_4,系统设计,0
1,5,微服务_1_5,微服务,0
1,6,性能调优_1_6,性能调优,0
2,2,基本数据类型_2_2,基本数据类型,0
2,3,数据库_2_3,数据库,0
2,4,I/O_2_4,I/O,0
2,5,序列化和反序列化_2_5,序列化和反序列化,0
3,2,GC_3_2,GC,0
3,4,锁_3_4,锁,0
4,1,异常_4_1,异常,0
4,4,线程池_4_4,线程池,0
4,6,变量_4_6,变量,0
5,2,Spring_5_2,Spring,0
5,5,JVM_5_5,JVM,0
5,7,注解_5_7,注解,0
6,1,序列化和反序列化_6_1,序列化和反序列化,0
6,2,变量_6_2,变量,0
6,3,数据库_6_3,数据库,1
6,4,数据库_6_4,数据库,0
6,5,方法_6_5,方法,0
7,1,集合_7_1,集合,0
7,3,数据库_7_3,数据库,1
7,4,方法_7_4,方法,0
7,5,数据库_7_5,数据库,0
7,6,集合_7_6,集合,0
7,7,方法_7_7,方法,0
8,3,系统设计_8_3,系统设计,1
8,4,GC_8_4,GC,0
8,5,异常_8_5,异常,0
8,6,并发_8_6,并发,0
9,1,并发_9_1,并发,1
9,2,String_9_2,String,0
9,3,锁_9_3,锁,0
9,4,并发_9_4,并发,1
9,6,JVM_9_6,JVM,0
9,7,锁_9_7,锁,0
10,1,SPI_10_1,SPI,0
10,2,系统设计_10_2,系统设计,1
10,5,缓存_10_5,缓存,0
10,6,String_10_6,String,0
11,1,JVM_11_1,JVM,0
11,3,系统设计_11_3,系统设计,0
11,4,注解_11_4,注解,0
12,1,缓存_12_1,缓存,0
13,2,系统设计_13_2,系统设计,1
13,5,系统设计_13_5,系统设计,0
13,6,JVM_13_6,JVM,0
14,1,系统设计_14_1,系统设计,1
14,3,系统设计_14_3,系统设计,1
14,4,数据库_14_4,数据库,1
14,6,数据库_14_6,数据库,1
14,7,数据库_14_7,数据库,0
15,4,缓存_15_4,缓存,0
15,5,并发_15_5,并发,0
16,1,JVM_16_1,JVM,0
16,2,异常_16_2,异常,0
16,3,Spring_16_3,Spring,1
16,5,面向对象基础_16_5,面向对象基础,0
16,6,Spring_16_6,Spring,0
16,7,SPI_16_7,SPI,0
17,2,注解_17_2,注解,1
17,3,序列化和反序列化_17_3,序列化和反序列化,0
17,5,系统设计_17_5,系统设计,0
17,6,SPI_17_6,SPI,0
18,1,序列化和反序列化_18_1,序列化和反序列化,0
18,2,SPI_18_2,SPI,0
18,3,数据库_18_3,数据库,0
18,5,系统设计_18_5,系统设计,0
19,3,基本数据类型_19_3,基本数据类型,0
19,4,缓存_19_4,缓存,0
19,5,Spring_19_5,Spring,0
20,1,并发_20_1,并发,0
20,2,基本语法_20_2,基本语法,0
20,3,String_20_3,String,0
20,5,集合_20_5,集合,0
21,2,数据库_21_2,数据库,1
21,3,性能调优_21_3,性能调优,0
21,4,数据库_21_4,数据库,0
21,5,方法_21_5,方法,0
21,6,数据库_21_6,数据库,1
21,8,集合_21_8,集合,0
22,1,JVM_22_1,JVM,0
22,2,异常_22_2,异常,0
23,3,系统设计_23_3,系统设计,1
23,4,数据库_23_4,数据库,0
23,5,Spring_23_5,Spring,0
23,6,系统设计_23_6,系统设计,1
23,7,Object_23_7,Object,0
24,1,并发_24_1,并发,0
24,2,锁_24_2,锁,1
24,3,系统设计_24_3,系统设计,1
24,5,锁_24_5,锁,0
24,6,系统设计_24_6,系统设计,0
24,7,JMM_24_7,JMM,0
25,1,数据库_25_1,数据库,0
25,2,序列化和反序列化_25_2,序列化和反序列化,0
25,3,I/O_25_3,I/O,0
25,6,微服务_25_6,微服务,0
26,2,Spring_26_2,Spring,1
26,3,数据库_26_3,数据库,0
26,4,数据库_26_4,数据库,1
26,5,Spring_26_5,Spring,0
26,6,JVM_26_6,JVM,0
27,1,Spring_27_1,Spring,0
27,2,并发_27_2,并发,0
28,1,数据库_28_1,数据库,1
28,2,方法_28_2,方法,0
28,3,缓存_28_3,缓存,0
29,1,Object_29_1,Object,0
29,2,方法_29_2,方法,0
29,3,系统设计_29_3,系统设计,0
29,5,系统设计_29_5,系统设计,0
29,6,线程池_29_6,线程池,0
29,7,集合_29_7,集合,0
30,1,系统设计_30_1,系统设计,0
30,2,集合_30_2,集合,1
30,4,集合_30_4,集合,0
30,5,JMM_30_5,JMM,0
31,3,变量_31_3,变量,0
31,4,数据库_31_4,数据库,1
31,6,数据库_31_6,数据库,0
32,2,数据库_32_2,数据库,0
32,4,基本数据类型_32_4,基本数据类型,0
33,2,微服务_33_2,微服务,0
33,3,集合_33_3,集合,0
33,7,变量_33_7,变量,0
34,1,面向对象基础_34_1,面向对象基础,0
34,3,基本数据类型_34_3,基本数据类型,0
34,4,微服务_34_4,微服务,0
34,5,Spring_34_5,Spring,0
35,1,序列化和反序列化_35_1,序列化和反序列化,0
35,4,Spring_35_4,Spring,0
35,5,集合_35_5,集合,0
36,2,JMM_36_2,JMM,0
36,3,线程池_36_3,线程池,0
36,4,I/O_36_4,I/O,0
37,1,微服务_37_1,微服务,0
37,3,Spring_37_3,Spring,0
37,4,数据库_37_4,数据库,1
37,5,并发_37_5,并发,0
37,6,缓存_37_6,缓存,0
38,1,序列化和反序列化_38_1,序列化和反序列化,0
38,3,缓存_38_3,缓存,0
38,4,数据库_38_4,数据库,0
