question_id,difficulty,chapter,track
1,2,String,Java Backend
2,2,String,Java Backend
3,2,String,Java Backend
4,2,String,Java Backend
5,2,String,Java Backend
6,4,String,Java Backend
7,2,基本语法,Java Backend
8,2,基本语法,Java Backend
9,1,基本语法,Java Backend
10,2,基本语法,Java Backend
11,2,基本语法,Java Backend
12,1,基本语法,Java Backend
13,5,基本数据类型,Java Backend
14,3,基本数据类型,Java Backend
15,4,基本数据类型,Java Backend
16,2,基本数据类型,Java Backend
17,5,基本数据类型,Java Backend
18,4,基本数据类型,Java Backend
19,2,变量,Java Backend
20,3,变量,Java Backend
21,2,变量,Java Backend
22,1,变量,Java Backend
23,2,变量,Java Backend
24,2,变量,Java Backend
25,4,方法,Java Backend
26,1,方法,Java Backend
27,3,方法,Java Backend
28,2,方法,Java Backend
29,2,方法,Java Backend
30,4,方法,Java Backend
31,3,面向对象基础,Java Backend
32,4,面向对象基础,Java Backend
33,2,面向对象基础,Java Backend
34,4,面向对象基础,Java Backend
35,4,面向对象基础,Java Backend
36,4,面向对象基础,Java Backend
37,3,Object,Java Backend
38,3,Object,Java Backend
39,3,Object,Java Backend
40,5,Object,Java Backend
41,3,Object,Java Backend
42,5,Object,Java Backend
43,4,异常,Java Backend
44,3,异常,Java Backend
45,3,异常,Java Backend
46,3,异常,Java Backend
47,5,异常,Java Backend
48,5,异常,Java Backend
49,3,集合,Java Backend
50,3,集合,Java Backend
51,2,集合,Java Backend
52,3,集合,Java Backend
53,2,集合,Java Backend
54,3,集合,Java Backend
55,5,数据库,Java Backend
56,5,数据库,Java Backend
57,3,数据库,Java Backend
58,3,数据库,Java Backend
59,3,数据库,Java Backend
60,4,数据库,Java Backend
61,4,系统设计,Java Backend
62,3,系统设计,Java Backend
63,3,系统设计,Java Backend
64,3,系统设计,Java Backend
65,2,系统设计,Java Backend
66,2,系统设计,Java Backend
67,3,并发,Java Concurrency
68,5,并发,Java Concurrency
69,3,并发,Java Concurrency
70,3,并发,Java Concurrency
71,3,并发,Java Concurrency
72,3,并发,Java Concurrency
73,2,线程池,Java Concurrency
74,4,线程池,Java Concurrency
75,4,线程池,Java Concurrency
76,2,线程池,Java Concurrency
77,5,线程池,Java Concurrency
78,3,线程池,Java Concurrency
79,3,锁,Java Concurrency
80,2,锁,Java Concurrency
81,3,锁,Java Concurrency
82,2,锁,Java Concurrency
83,3,锁,Java Concurrency
84,4,锁,Java Concurrency
85,3,JMM,Java Concurrency
86,4,JMM,Java Concurrency
87,3,JMM,Java Concurrency
88,3,JMM,Java Concurrency
89,5,JMM,Java Concurrency
90,5,JMM,Java Concurrency
91,2,集合,Java Concurrency
92,3,集合,Java Concurrency
93,2,集合,Java Concurrency
94,3,集合,Java Concurrency
95,5,集合,Java Concurrency
96,4,集合,Java Concurrency
97,3,JVM,Java Concurrency
98,3,JVM,Java Concurrency
99,3,JVM,Java Concurrency
100,5,JVM,Java Concurrency
101,3,JVM,Java Concurrency
102,2,JVM,Java Concurrency
103,4,系统设计,Java Concurrency
104,3,系统设计,Java Concurrency
105,3,系统设计,Java Concurrency
106,5,系统设计,Java Concurrency
107,3,系统设计,Java Concurrency
108,3,系统设计,Java Concurrency
109,3,JVM,JVM & Performance
110,3,JVM,JVM & Performance
111,3,JVM,JVM & Performance
112,3,JVM,JVM & Performance
113,5,JVM,JVM & Performance
114,2,JVM,JVM & Performance
115,4,GC,JVM & Performance
116,2,GC,JVM & Performance
117,4,GC,JVM & Performance
118,5,GC,JVM & Performance
119,5,GC,JVM & Performance
120,3,GC,JVM & Performance
121,5,I/O,JVM & Performance
122,2,I/O,JVM & Performance
123,3,I/O,JVM & Performance
