session_id,participant_id,track,duration_min,n_questions,initial_difficulty,termination_reason,termination_rounds
1,2,Java Backend,,6,2,active,6
2,3,Java Backend,23.3,6,4,completed,6
3,2,Java Concurrency,23.9,4,4,completed,4
4,4,Spring & Microservices,25.3,4,4,completed,4
5,3,Spring & Microservices,,5,2,active,5
6,6,Java Backend,24.1,3,2,completed,3
7,6,JVM & Performance,5,7,4,completed,7
8,7,Java Backend,20.1,5,4,completed,5
9,4,Java Backend,40.7,3,2,completed,3
10,2,Spring & Microservices,23.5,4,4,completed,4
11,3,JVM & Performance,21.4,5,4,completed,5
12,2,Java Concurrency,,5,2,active,5
13,8,Spring & Microservices,,4,4,active,4
14,6,Java Backend,13.4,4,2,completed,4
15,7,JVM & Performance,27.2,3,4,completed,3
16,8,Java Concurrency,34.2,4,2,completed,4
17,7,Spring & Microservices,27.1,5,2,completed,5
18,2,Java Concurrency,26.3,6,4,completed,6
19,2,Spring & Microservices,40.6,5,3,completed,5
20,1,Java Backend,22.1,6,4,completed,6
