session_id,reason,rounds
1,completed,7
2,completed,7
3,completed,5
4,completed,6
5,completed,7
6,completed,5
7,completed,7
8,completed,6
9,completed,7
10,completed,8
11,early_stop,4
12,completed,6
13,completed,6
14,completed,7
15,completed,7
16,completed,7
17,completed,6
18,completed,6
19,early_stop,6
20,completed,5
21,completed,8
22,completed,6
23,completed,7
24,completed,8
25,completed,6
26,completed,7
27,completed,7
28,completed,8
29,completed,8
30,completed,6
31,completed,6
32,completed,5
33,completed,7
34,completed,5
35,completed,6
36,completed,5
37,completed,6
38,completed,6
39,completed,6
40,completed,5
41,completed,5
42,completed,7
43,completed,8
44,completed,7
45,completed,8
46,completed,8
47,active,3
48,active,5
49,completed,8
50,early_stop,3
51,completed,8
52,active,7
53,completed,7
54,active,5
55,completed,7
56,completed,6
57,completed,6
58,early_stop,4
59,completed,7
60,completed,6
61,active,5
62,completed,5
63,completed,7
64,completed,5
65,active,3
66,completed,6
67,completed,6
68,completed,8
69,completed,8
70,completed,7
71,completed,7
72,completed,7
73,early_stop,3
74,completed,8
75,completed,7
76,completed,8
77,completed,7
78,completed,5
79,completed,7
80,completed,6
81,completed,7
82,completed,6
83,completed,5
84,completed,8
85,completed,6
86,completed,5
87,completed,6
88,completed,6
89,completed,7
90,completed,5
91,completed,7
92,completed,8
93,completed,8
94,completed,6
95,completed,5
96,completed,5
97,completed,6
98,completed,7
99,completed,7
100,completed,7
101,completed,7
102,completed,7
103,completed,8
104,early_stop,4
105,completed,8
106,completed,8
107,completed,8
108,completed,8
109,completed,8
110,completed,7
111,completed,5
112,completed,7
113,completed,8
114,completed,8
115,completed,7
116,completed,6
117,completed,6
118,completed,8
119,completed,8
120,completed,5
121,completed,7
122,completed,8
123,completed,6
124,completed,8
125,completed,8
126,completed,5
127,completed,6
128,completed,8
129,completed,8
130,early_stop,3
131,completed,8
132,completed,8
133,completed,7
134,completed,8
135,completed,5
136,completed,5
137,completed,6
138,completed,6
139,active,6
140,completed,5
141,completed,5
142,completed,6
143,completed,6
144,completed,5
145,completed,6
146,completed,5
147,completed,5
148,completed,5
149,completed,8
150,completed,8
151,completed,5
152,completed,8
153,completed,5
154,completed,8
155,completed,7
156,completed,6
157,active,3
158,completed,7
159,completed,8
160,completed,8
161,early_stop,5
162,active,4
163,completed,6
164,early_stop,5
165,completed,8
166,completed,8
167,active,4
168,completed,8
169,early_stop,5
170,completed,7
171,completed,8
172,completed,6
173,completed,5
174,completed,5
175,completed,7
176,completed,5
177,early_stop,4
178,completed,5
179,completed,7
180,completed,8
181,completed,5
182,completed,6
183,completed,5
184,completed,6
185,completed,5
186,completed,6
187,completed,8
188,completed,8
189,completed,7
190,completed,8
191,completed,8
192,completed,7
193,completed,8
194,completed,5
195,completed,5
196,completed,7
197,completed,7
198,completed,8
199,completed,7
200,completed,6
201,completed,5
202,completed,7
203,completed,5
204,completed,5
205,completed,6
206,completed,6
207,completed,8
208,completed,6
209,completed,6
210,completed,6
211,completed,8
212,early_stop,3
213,early_stop,5
214,completed,6
215,completed,8
216,completed,6
217,completed,8
218,early_stop,3
219,active,3
220,completed,6
221,completed,7
222,completed,8
223,completed,7
224,active,5
225,completed,7
226,completed,7
227,completed,7
228,completed,8
229,completed,5
230,completed,8
231,completed,5
232,completed,8
233,completed,5
234,completed,6
235,completed,6
236,completed,5
237,completed,5
238,completed,7
239,completed,5
240,completed,7
241,completed,5
242,completed,7
243,completed,6
244,completed,7
245,completed,6
246,completed,6
247,completed,5
248,completed,6
249,completed,7
250,completed,7
251,completed,7
252,completed,5
253,early_stop,3
254,completed,5
255,completed,8
256,completed,8
257,completed,7
258,completed,7
259,completed,5
260,completed,8
261,completed,7
262,completed,5
263,completed,6
264,completed,8
265,early_stop,3
266,completed,5
267,completed,7
268,completed,8
269,completed,7
270,completed,7
271,completed,6
272,completed,8
273,completed,5
274,completed,6
275,completed,5
276,completed,7
277,completed,8
278,completed,8
279,completed,5
280,completed,8
281,completed,6
282,completed,5
283,completed,5
284,completed,8
285,completed,6
286,completed,7
287,completed,7
288,early_stop,4
289,completed,5
290,completed,5
291,completed,8
292,early_stop,4
293,completed,7
294,completed,7
295,completed,8
296,completed,8
297,completed,7
298,completed,7
299,completed,8
300,completed,8
