id,session_id,role,content
1,1,interviewer,第1题（基础概念与常识）：请简述相关知识点。
2,1,candidate,（已提交语音回答）
3,1,interviewer,第2题（异常）：请简述相关知识点。
4,1,candidate,（已提交语音回答）
5,1,interviewer,第3题（Spring）：请简述相关知识点。
6,1,candidate,（已提交语音回答）
7,1,interviewer,第4题（String）：请简述相关知识点。
8,1,candidate,（已提交语音回答）
9,1,interviewer,第5题（String）：请简述相关知识点。
10,1,candidate,（已提交语音回答）
11,1,interviewer,第6题（Spring）：请简述相关知识点。
12,1,candidate,（已提交语音回答）
13,2,interviewer,第1题（集合）：请简述相关知识点。
14,2,candidate,（已提交语音回答）
15,2,interviewer,第2题（String）：请简述相关知识点。
16,2,candidate,（已提交语音回答）
17,2,interviewer,第3题（泛型）：请简述相关知识点。
18,2,candidate,（已提交语音回答）
19,2,interviewer,第4题（注解）：请简述相关知识点。
20,2,candidate,（已提交语音回答）
21,2,interviewer,第5题（SPI）：请简述相关知识点。
22,2,candidate,（已提交语音回答）
23,2,interviewer,第6题（集合）：请简述相关知识点。
24,2,candidate,（已提交语音回答）
25,3,interviewer,第1题（I/O）：请简述相关知识点。
26,3,candidate,（已提交语音回答）
27,3,interviewer,第2题（系统设计）：请简述相关知识点。
28,3,candidate,（已提交语音回答）
29,3,interviewer,第3题（基本语法）：请简述相关知识点。
30,3,candidate,（已提交语音回答）
31,3,interviewer,第4题（基本数据类型）：请简述相关知识点。
32,3,candidate,（已提交语音回答）
33,4,interviewer,第1题（I/O）：请简述相关知识点。
34,4,candidate,（已提交语音回答）
35,4,interviewer,第2题（SPI）：请简述相关知识点。
36,4,candidate,（已提交语音回答）
37,4,interviewer,第3题（泛型）：请简述相关知识点。
38,4,candidate,（已提交语音回答）
39,4,interviewer,第4题（系统设计）：请简述相关知识点。
40,4,candidate,（已提交语音回答）
41,5,interviewer,第1题（Spring）：请简述相关知识点。
42,5,candidate,（已提交语音回答）
43,5,interviewer,第2题（泛型）：请简述相关知识点。
44,5,candidate,（已提交语音回答）
45,5,interviewer,第3题（注解）：请简述相关知识点。
46,5,candidate,（已提交语音回答）
47,5,interviewer,第4题（注解）：请简述相关知识点。
48,5,candidate,（已提交语音回答）
49,5,interviewer,第5题（注解）：请简述相关知识点。
50,5,candidate,（已提交语音回答）
51,6,interviewer,第1题（并发）：请简述相关知识点。
52,6,candidate,（已提交语音回答）
53,6,interviewer,第2题（泛型）：请简述相关知识点。
54,6,candidate,（已提交语音回答）
55,6,interviewer,第3题（Spring）：请简述相关知识点。
56,6,candidate,（已提交语音回答）
57,7,interviewer,第1题（数据库）：请简述相关知识点。
58,7,candidate,（已提交语音回答）
59,7,interviewer,第2题（方法）：请简述相关知识点。
60,7,candidate,（已提交语音回答）
61,7,interviewer,第3题（变量）：请简述相关知识点。
62,7,candidate,（已提交语音回答）
63,7,interviewer,第4题（序列化和反序列化）：请简述相关知识点。
64,7,candidate,（已提交语音回答）
65,7,interviewer,第5题（集合）：请简述相关知识点。
66,7,candidate,（已提交语音回答）
67,7,interviewer,第6题（String）：请简述相关知识点。
68,7,candidate,（已提交语音回答）
69,7,interviewer,第7题（泛型）：请简述相关知识点。
70,7,candidate,（已提交语音回答）
71,8,interviewer,第1题（变量）：请简述相关知识点。
72,8,candidate,（已提交语音回答）
73,8,interviewer,第2题（泛型）：请简述相关知识点。
74,8,candidate,（已提交语音回答）
75,8,interviewer,第3题（变量）：请简述相关知识点。
76,8,candidate,（已提交语音回答）
77,8,interviewer,第4题（JVM）：请简述相关知识点。
78,8,candidate,（已提交语音回答）
79,8,interviewer,第5题（Spring）：请简述相关知识点。
80,8,candidate,（已提交语音回答）
81,9,interviewer,第1题（系统设计）：请简述相关知识点。
82,9,candidate,（已提交语音回答）
83,9,interviewer,第2题（反射）：请简述相关知识点。
84,9,candidate,（已提交语音回答）
85,9,interviewer,第3题（基本数据类型）：请简述相关知识点。
86,9,candidate,（已提交语音回答）
87,10,interviewer,第1题（并发）：请简述相关知识点。
88,10,candidate,（已提交语音回答）
89,10,interviewer,第2题（方法）：请简述相关知识点。
90,10,candidate,（已提交语音回答）
91,10,interviewer,第3题（面向对象基础）：请简述相关知识点。
92,10,candidate,（已提交语音回答）
93,10,interviewer,第4题（序列化和反序列化）：请简述相关知识点。
