Chapter,Asked Count,Sessions Covered,Avg Difficulty,Avg Overall,Avg Correctness,Avg Depth,Avg Clarity
Spring,188,79,2.64,0.670,0.694,0.664,0.673
System Design,157,76,2.80,0.667,0.687,0.657,0.667
Concurrency,134,68,3.27,0.675,0.685,0.673,0.665
Database,112,65,2.80,0.657,0.683,0.647,0.656
Threading,93,37,2.56,0.692,0.710,0.686,0.685
JVM,85,53,3.34,0.675,0.679,0.675,0.671
Memory Model,68,35,3.46,0.655,0.674,0.652,0.640
Caching,64,36,2.48,0.631,0.661,0.610,0.632
Microservices,61,34,3.07,0.655,0.675,0.648,0.660
Locks,53,32,3.28,0.690,0.714,0.700,0.669
Thread Pool,43,29,3.12,0.674,0.689,0.674,0.652
Profiling,37,17,2.89,0.722,0.734,0.717,0.705
GC,34,14,2.71,0.707,0.718,0.703,0.708
Java Basics,34,25,2.29,0.688,0.707,0.674,0.694
Collections,24,20,3.25,0.620,0.650,0.613,0.629
Memory,22,13,2.86,0.685,0.687,0.686,0.670
Performance,18,13,3.06,0.688,0.701,0.683,0.663
